2019-11-25 10:23:30,952: Key.f5
2019-11-25 10:24:06,740: Key.alt_l
2019-11-25 10:24:06,960: Key.tab
2019-11-25 10:24:58,495: 'k'
2019-11-25 10:24:58,679: 'e'
2019-11-25 10:24:58,934: 'y'
2019-11-25 10:24:59,406: 'l'
2019-11-25 10:24:59,574: 'o'
2019-11-25 10:24:59,926: 'g'
2019-11-25 10:25:00,279: 'e'
2019-11-25 10:25:00,375: 'r'
2019-11-25 10:25:01,343: Key.down
2019-11-25 10:25:02,286: Key.space
2019-11-25 10:25:03,551: 'w'
2019-11-25 10:25:03,678: 'i'
2019-11-25 10:25:03,846: 'n'
2019-11-25 10:25:03,967: 'd'
2019-11-25 10:25:04,078: 'o'
2019-11-25 10:25:04,311: 'w'
2019-11-25 10:25:04,542: 's'
2019-11-25 10:25:04,711: Key.space
2019-11-25 10:25:05,119: 'p'
2019-11-25 10:25:05,390: 'u'
2019-11-25 10:25:05,766: Key.backspace
2019-11-25 10:25:06,047: 'y'
2019-11-25 10:25:06,231: 't'
2019-11-25 10:25:06,287: 'h'
2019-11-25 10:25:06,534: 'o'
2019-11-25 10:25:06,807: 'n'
2019-11-25 10:25:07,094: Key.enter
2019-11-25 10:25:49,271: 'm'
2019-11-25 10:25:49,527: 'y'
2019-11-25 10:25:49,736: Key.space
2019-11-25 10:25:50,648: 'k'
2019-11-25 10:25:50,775: 'e'
2019-11-25 10:25:53,880: 'y'
2019-11-25 10:25:54,239: 'l'
2019-11-25 10:25:54,415: 'o'
2019-11-25 10:25:54,608: 'g'
2019-11-25 10:25:54,798: 'g'
2019-11-25 10:25:55,159: 'e'
2019-11-25 10:25:55,295: 'r'
2019-11-25 10:25:56,648: Key.space
2019-11-25 10:25:57,527: 'd'
2019-11-25 10:25:57,735: 'o'
2019-11-25 10:25:59,128: 'e'
2019-11-25 10:25:59,351: 's'
2019-11-25 10:25:59,687: 't'
2019-11-25 10:26:00,015: Key.space
2019-11-25 10:26:00,407: 'w'
